GeneID	Base_mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
ENSG00000132432	95.87310901	-3.476637253	0.227697649	-15.26865676	1.24E-52	2.70E-50
ENSG00000167658	1832.89484	1.283205803	0.085102576	15.07834259	2.25E-51	4.83E-49
ENSG00000107581	246.7775657	-1.982988654	0.131827609	-15.04228646	3.88E-51	8.19E-49
ENSG00000187837	132.782106	-2.702321225	0.180779862	-14.94813189	1.60E-50	3.32E-48
ENSG00000134571	90.60819892	-3.513243074	0.237582331	-14.78747626	1.76E-49	3.60E-47
ENSG00000110492	721.3461607	1.744000274	0.118882873	14.66990351	1.00E-48	2.02E-46
ENSG00000275714	141.8885598	-2.92737628	0.200688009	-14.58670246	3.41E-48	6.74E-46
ENSG00000003137	1645.684026	-0.974124678	0.067322299	-14.4695694	1.89E-47	3.67E-45
ENSG00000170312	67.67468092	-4.737746367	0.327781947	-14.45395761	2.37E-47	4.53E-45
ENSG00000138152	104.5600473	-3.550882664	0.248238881	-14.30429695	2.06E-46	3.87E-44
ENSG00000160190	77.27364834	-3.911814515	0.274096711	-14.27165797	3.29E-46	6.10E-44
ENSG00000047315	146.9344658	-2.523807898	0.177674222	-14.20469366	8.57E-46	1.57E-43
ENSG00000125730	388.024614	2.935069136	0.208269416	14.09265552	4.21E-45	7.59E-43
ENSG00000011132	87.81966789	-4.197481127	0.300005721	-13.99133695	1.76E-44	3.12E-42
ENSG00000141505	102.5030685	-3.339347507	0.240094198	-13.90848897	5.63E-44	9.84E-42
ENSG00000274290	75.83787852	-3.754501811	0.27018575	-13.89600232	6.70E-44	1.15E-41
ENSG00000123416	205.1544073	-2.997195885	0.217635039	-13.77166059	3.77E-43	6.42E-41
ENSG00000160908	93.24200385	-3.116954569	0.227601627	-13.69478157	1.09E-42	1.83E-40
ENSG00000122566	483.4755957	-1.309588311	0.095898401	-13.65599734	1.86E-42	3.08E-40
ENSG00000182117	80.03529305	-3.326143134	0.244463465	-13.60589051	3.69E-42	6.03E-40
ENSG00000124635	70.77281678	-4.057293503	0.300663325	-13.49447427	1.69E-41	2.72E-39
ENSG00000014641	89.52229885	-3.157043699	0.236967967	-13.32266016	1.71E-40	2.72E-38
ENSG00000198727	1870.06488	-0.982399439	0.074024767	-13.27122642	3.40E-40	5.34E-38
ENSG00000131620	4629.459575	-3.193572979	0.241066462	-13.24768678	4.65E-40	7.21E-38
ENSG00000275713	80.83894567	-3.233060855	0.245045882	-13.19369591	9.54E-40	1.46E-37
ENSG00000205922	69.94019618	-3.601901209	0.273104894	-13.18870989	1.02E-39	1.54E-37
ENSG00000117013	80.10659219	-3.312387104	0.251549475	-13.16793487	1.34E-39	2.00E-37
ENSG00000134917	72.30227449	-4.74756015	0.36131548	-13.13965335	1.95E-39	2.88E-37
ENSG00000164919	66.45626281	-3.948523649	0.301450662	-13.09840763	3.36E-39	4.90E-37
ENSG00000124942	525.6201143	1.72179402	0.131574296	13.08609718	3.95E-39	5.70E-37
ENSG00000185761	65.14973624	-3.731893825	0.285709082	-13.06186628	5.44E-39	7.74E-37
ENSG00000198373	117.7752968	-2.486452366	0.191661944	-12.9731146	1.74E-38	2.42E-36
ENSG00000173976	57.05099335	-5.475176275	0.42202871	-12.97346873	1.73E-38	2.42E-36
ENSG00000251322	133.3062523	-2.781078516	0.216277526	-12.8588419	7.67E-38	1.06E-35
ENSG00000124575	87.30220114	-2.926522414	0.231715122	-12.62982923	1.45E-36	1.97E-34
ENSG00000276410	56.56193454	-4.121730511	0.326789225	-12.61281033	1.79E-36	2.41E-34
ENSG00000234828	69.73407885	-3.487809816	0.277724939	-12.5585042	3.57E-36	4.75E-34
ENSG00000228474	81.96856495	-2.934424161	0.236056227	-12.43103901	1.77E-35	2.33E-33
ENSG00000123200	170.6030058	-2.230119666	0.180292097	-12.369481	3.82E-35	4.98E-33
ENSG00000115128	75.63837171	-3.479942888	0.281671877	-12.3545983	4.60E-35	5.93E-33
ENSG00000278463	94.50156813	-2.86380215	0.232892854	-12.29665102	9.44E-35	1.20E-32
ENSG00000115875	102.6508742	-2.618429352	0.213065272	-12.28932957	1.03E-34	1.30E-32
ENSG00000100483	107.270818	-3.71895621	0.303239043	-12.26410747	1.41E-34	1.76E-32
ENSG00000111879	48.92765701	-4.368872518	0.36015668	-12.13047753	7.28E-34	9.01E-32
ENSG00000179057	48.67889825	-4.787217003	0.396684148	-12.06808245	1.56E-33	1.91E-31
ENSG00000167088	49.94855048	-4.069868327	0.337446243	-12.06079017	1.70E-33	2.06E-31
ENSG00000077152	58.72020381	-3.841157392	0.321086801	-11.96298753	5.55E-33	6.66E-31
ENSG00000123975	48.58315185	-4.193747996	0.351937181	-11.91618341	9.75E-33	1.16E-30
ENSG00000187066	64.17232763	-4.358500092	0.368918931	-11.81424895	3.29E-32	3.88E-30
ENSG00000153266	68.59541814	-3.409732432	0.28990232	-11.76165969	6.15E-32	7.17E-30
ENSG00000136068	485.9191964	1.567334955	0.133564195	11.73469398	8.46E-32	9.77E-30
ENSG00000148773	226.9731114	-1.569580879	0.133889091	-11.72299304	9.72E-32	1.11E-29
ENSG00000115414	527.8999307	1.454127115	0.124807861	11.65092567	2.27E-31	2.57E-29
ENSG00000146373	133.3807426	-2.250903396	0.195420874	-11.5182342	1.07E-30	1.20E-28
ENSG00000145332	118.5836349	-3.010251296	0.262177165	-11.48174478	1.63E-30	1.81E-28
ENSG00000090621	300.0194998	-1.415382746	0.124142767	-11.40125023	4.12E-30	4.55E-28
ENSG00000077420	44.6617426	-5.565575801	0.492895977	-11.29158293	1.44E-29	1.58E-27
ENSG00000131174	58.63616733	-3.293565622	0.292415528	-11.26330619	1.99E-29	2.16E-27
ENSG00000165731	1177.44769	1.042860471	0.093398475	11.16571199	6.00E-29	6.44E-27
ENSG00000117724	185.4850097	-1.700898916	0.153146966	-11.10631811	1.17E-28	1.24E-26
ENSG00000079246	203.3999455	-1.574217595	0.142070869	-11.08050935	1.56E-28	1.65E-26
ENSG00000171951	135.2869865	-2.009951508	0.181802247	-11.05570225	2.06E-28	2.15E-26
ENSG00000196850	58.72159187	-3.312920733	0.300085314	-11.03992957	2.45E-28	2.54E-26
ENSG00000140443	161.391025	-1.834024038	0.166448603	-11.01856073	3.11E-28	3.20E-26
ENSG00000187792	58.92862944	-3.000829666	0.274970881	-10.91326345	9.96E-28	1.02E-25
ENSG00000214336	150.6368588	-1.978332398	0.181749933	-10.88491403	1.36E-27	1.38E-25
ENSG00000197903	40.34506234	-4.809029125	0.442145274	-10.87658155	1.49E-27	1.50E-25
ENSG00000137040	44.58314706	-3.708840479	0.34119354	-10.8701955	1.60E-27	1.59E-25
ENSG00000276966	201.4123913	-1.553443625	0.143203468	-10.84780726	2.04E-27	2.02E-25
ENSG00000183421	67.3526518	-6.881510113	0.646085761	-10.65107844	1.72E-26	1.69E-24
ENSG00000109705	57.96871325	-2.914091947	0.27488902	-10.60097615	2.95E-26	2.87E-24
ENSG00000069275	144.566372	-1.793643546	0.169296702	-10.59467505	3.15E-26	3.04E-24
ENSG00000106399	38.53151672	-4.260520141	0.403186257	-10.5671264	4.23E-26	4.05E-24
ENSG00000198840	286.4967471	-1.282856501	0.121659833	-10.54461829	5.38E-26	5.11E-24
ENSG00000204612	49.61248815	-3.909183475	0.370938137	-10.53863996	5.73E-26	5.40E-24
ENSG00000132872	80.99091516	-2.36189286	0.226444609	-10.4303338	1.80E-25	1.68E-23
ENSG00000215301	120.802767	-2.011555303	0.192927659	-10.42647442	1.88E-25	1.74E-23
ENSG00000080371	70.48372534	-2.578052148	0.247461094	-10.41800997	2.05E-25	1.89E-23
ENSG00000175764	75.72196394	-3.356677334	0.32282212	-10.39791615	2.53E-25	2.32E-23
ENSG00000274641	52.62383498	-3.163382422	0.305305627	-10.36136298	3.72E-25	3.37E-23
ENSG00000103326	100.6465144	-2.124663556	0.205165017	-10.35587638	3.94E-25	3.54E-23
ENSG00000130487	36.44127179	-4.864493924	0.472477449	-10.29571661	7.37E-25	6.58E-23
ENSG00000104722	573.0421792	-1.172090784	0.115022179	-10.19012854	2.19E-24	1.95E-22
ENSG00000072501	163.773732	-1.766354453	0.173521314	-10.17946679	2.45E-24	2.16E-22
ENSG00000154277	276.746606	-1.688719419	0.165938236	-10.17679505	2.52E-24	2.20E-22
ENSG00000148225	64.14413818	-2.751340467	0.270672457	-10.16483355	2.85E-24	2.47E-22
ENSG00000179010	107.4982509	-2.34634449	0.232074582	-10.11030365	4.97E-24	4.29E-22
ENSG00000131016	482.7962295	-0.992488566	0.098252131	-10.10144569	5.44E-24	4.66E-22
ENSG00000189043	47.15908423	-3.23335087	0.320647809	-10.08380777	6.52E-24	5.54E-22
ENSG00000108848	58.84483458	-2.801679522	0.277897812	-10.08168975	6.66E-24	5.62E-22
ENSG00000117593	51.72836578	-2.987643716	0.296869709	-10.06382134	7.98E-24	6.69E-22
ENSG00000156411	61.2948715	-3.846768966	0.383022783	-10.04318576	9.84E-24	8.20E-22
ENSG00000121964	75.92063868	-2.390832243	0.238459552	-10.02615423	1.17E-23	9.68E-22
ENSG00000100083	176.5269235	-1.783770488	0.178025197	-10.01976418	1.25E-23	1.03E-21
ENSG00000169429	52.64099355	-2.978542105	0.29751659	-10.01134795	1.36E-23	1.11E-21
ENSG00000132780	113.8691911	-1.89410577	0.189774265	-9.980835774	1.85E-23	1.50E-21
ENSG00000112414	39.26620934	-3.975936474	0.399334655	-9.9564023	2.36E-23	1.90E-21
ENSG00000198914	49.54561025	-3.040529249	0.305849411	-9.941262397	2.75E-23	2.20E-21
ENSG00000169758	32.06408208	-5.209765133	0.526131236	-9.902025915	4.08E-23	3.24E-21
ENSG00000164104	106.0640799	-1.93796856	0.195961775	-9.889523393	4.62E-23	3.65E-21
ENSG00000099783	205.916144	-1.425981263	0.144771475	-9.849877286	6.86E-23	5.39E-21
ENSG00000120093	37.56521621	-3.906800317	0.397623837	-9.825367468	8.76E-23	6.83E-21
ENSG00000198870	38.592494	-3.721003389	0.378844264	-9.821986872	9.05E-23	7.02E-21
ENSG00000178343	44.02396639	-3.259240015	0.332495832	-9.802348498	1.10E-22	8.47E-21
ENSG00000152926	44.01712196	-3.506062807	0.358114992	-9.790326814	1.24E-22	9.48E-21
ENSG00000186642	35.54116331	-3.856524222	0.396362847	-9.729782334	2.25E-22	1.71E-20
ENSG00000109046	56.88359127	-2.709681062	0.278652779	-9.724220485	2.38E-22	1.80E-20
ENSG00000166016	110.2000416	-1.844582164	0.190776843	-9.668794869	4.09E-22	3.07E-20
ENSG00000274618	35.22250119	-3.739875122	0.388832431	-9.618218094	6.70E-22	5.00E-20
ENSG00000161914	41.35597873	-3.294128132	0.343078218	-9.601682538	7.86E-22	5.84E-20
ENSG00000130935	43.5864828	-3.065564665	0.32117077	-9.544967822	1.36E-21	1.00E-19
ENSG00000044574	190.0426305	-1.423438825	0.149622066	-9.513562161	1.84E-21	1.35E-19
ENSG00000213190	78.63835382	-2.31864175	0.244440293	-9.4855137	2.41E-21	1.76E-19
ENSG00000185313	31.90875416	-4.230336233	0.449165159	-9.418219884	4.59E-21	3.32E-19
ENSG00000260220	29.3113639	-4.383555533	0.466825915	-9.390128945	5.99E-21	4.32E-19
ENSG00000155380	65.62640291	-2.463418123	0.263400196	-9.352377702	8.57E-21	6.14E-19
ENSG00000115760	221.8666151	1.957788893	0.209733997	9.334628265	1.01E-20	7.21E-19
ENSG00000172428	38.33317947	-3.6070422	0.386836328	-9.324466031	1.12E-20	7.89E-19
ENSG00000143401	68.85285407	-2.400877735	0.259886299	-9.238185111	2.51E-20	1.76E-18
ENSG00000164405	90.33081784	-1.944710262	0.210879203	-9.221915828	2.92E-20	2.04E-18
ENSG00000177614	93.19565837	-4.206893367	0.456332283	-9.218925604	3.00E-20	2.09E-18
ENSG00000278588	57.20458482	-2.591376598	0.281302274	-9.212071279	3.20E-20	2.21E-18
ENSG00000022567	52.60471331	-2.666694582	0.289662808	-9.206202891	3.38E-20	2.31E-18
ENSG00000123384	369.2498728	1.398686246	0.151921309	9.206649524	3.36E-20	2.31E-18
ENSG00000134250	250.4825966	1.722925655	0.187619446	9.183086797	4.19E-20	2.85E-18
ENSG00000132464	49.21095868	-7.103877433	0.773869907	-9.179679133	4.32E-20	2.92E-18
ENSG00000178342	31.86330577	-5.603015632	0.613100228	-9.138824904	6.31E-20	4.25E-18
ENSG00000170004	243.437819	-1.224452775	0.134448663	-9.107214239	8.45E-20	5.65E-18
ENSG00000166710	109.8441713	-1.785687632	0.197459138	-9.043327412	1.52E-19	1.01E-17
ENSG00000175600	31.56678306	-4.5602657	0.506050682	-9.011480192	2.03E-19	1.35E-17
ENSG00000146839	27.04839856	-5.082431762	0.56606332	-8.978556964	2.74E-19	1.81E-17
ENSG00000100632	41.92409363	-2.893334161	0.322692449	-8.966228279	3.07E-19	2.01E-17
ENSG00000275126	63.51934095	-2.595368716	0.289745509	-8.957407909	3.32E-19	2.16E-17
ENSG00000186766	36.60298402	-7.012032448	0.782871969	-8.956806125	3.34E-19	2.16E-17
ENSG00000106443	118.4041632	-2.02931081	0.227326779	-8.926844534	4.38E-19	2.82E-17
ENSG00000177732	164.1727993	-1.579859477	0.17704819	-8.923330311	4.52E-19	2.90E-17
ENSG00000119707	79.78082131	-2.175493368	0.244560239	-8.895531735	5.81E-19	3.71E-17
ENSG00000144134	34.35670172	-4.879095286	0.550191882	-8.867988513	7.45E-19	4.72E-17
ENSG00000160691	198.0359393	2.000098641	0.225729118	8.860614252	7.96E-19	5.02E-17
ENSG00000154153	30.46543816	-4.358599598	0.493721472	-8.82805356	1.07E-18	6.69E-17
ENSG00000119705	62.14988172	-2.306167993	0.261366428	-8.823505045	1.11E-18	6.93E-17
ENSG00000168298	129.3974522	-1.955605642	0.221792882	-8.817260615	1.17E-18	7.29E-17
ENSG00000127616	301.6600429	-1.045686951	0.118682054	-8.810826233	1.24E-18	7.68E-17
ENSG00000134375	52.44020183	-2.61653299	0.297309685	-8.800698807	1.36E-18	8.37E-17
ENSG00000100567	45.48868877	-3.598095378	0.409644936	-8.78344893	1.59E-18	9.70E-17
ENSG00000277443	318.7873913	-1.024819532	0.116775022	-8.776016625	1.69E-18	1.03E-16
ENSG00000273802	93.17719666	-3.086689233	0.351819151	-8.773511122	1.73E-18	1.05E-16
ENSG00000138080	364.4318268	1.217644025	0.139876897	8.705111763	3.17E-18	1.91E-16
ENSG00000184270	54.40191296	-2.717940213	0.312282282	-8.703472361	3.22E-18	1.93E-16
ENSG00000197153	47.30757586	-2.570260426	0.29677488	-8.660640091	4.69E-18	2.80E-16
ENSG00000118246	34.82525895	-3.271740531	0.377902032	-8.657642065	4.82E-18	2.86E-16
ENSG00000039987	26.13740048	-4.125522288	0.478064679	-8.629632078	6.15E-18	3.64E-16
ENSG00000184486	37.89211082	-2.950826505	0.342610355	-8.61277676	7.13E-18	4.19E-16
ENSG00000196924	1040.179005	0.906464641	0.105251562	8.612362864	7.16E-18	4.19E-16
ENSG00000111897	94.00251725	-1.787333904	0.207654176	-8.607262008	7.48E-18	4.36E-16
ENSG00000273983	82.66432066	-1.91132749	0.222074228	-8.606705543	7.52E-18	4.36E-16
ENSG00000161547	108.2032039	-1.92049579	0.223360003	-8.598208129	8.10E-18	4.68E-16
ENSG00000159377	163.7170347	-1.407629907	0.163980667	-8.584121095	9.15E-18	5.26E-16
ENSG00000172809	128.2812184	-1.535516044	0.179119466	-8.572580528	1.01E-17	5.79E-16
ENSG00000243147	50.82166221	-3.286360251	0.383643002	-8.566193669	1.07E-17	6.06E-16
ENSG00000067064	37.24448015	-3.121195051	0.364361042	-8.56621508	1.07E-17	6.06E-16
ENSG00000141543	69.95351309	-2.042599538	0.238759111	-8.555064251	1.18E-17	6.65E-16
ENSG00000136205	272.3396995	1.523145303	0.178107294	8.551841224	1.21E-17	6.80E-16
ENSG00000171634	298.3362387	-1.096853888	0.128465272	-8.538135381	1.36E-17	7.63E-16
ENSG00000115380	67.672131	-8.919447208	1.045484724	-8.531398881	1.45E-17	8.05E-16
ENSG00000123562	77.30866812	-2.066184316	0.24359556	-8.482027823	2.21E-17	1.23E-15
ENSG00000100603	48.891151	-2.552594022	0.301529267	-8.465493404	2.55E-17	1.41E-15
ENSG00000139572	37.22395457	-4.892630301	0.580058438	-8.434719642	3.32E-17	1.82E-15
ENSG00000104131	46.29352682	-2.523195586	0.299199207	-8.433162693	3.36E-17	1.84E-15
ENSG00000085831	59.58611458	-2.185258265	0.260264687	-8.396291827	4.61E-17	2.50E-15
ENSG00000161011	247.2082093	1.59831801	0.190365088	8.396066895	4.62E-17	2.50E-15
ENSG00000146122	59.65671198	-2.175846497	0.259240693	-8.393151825	4.73E-17	2.55E-15
ENSG00000147669	27.17973933	-3.942594079	0.470259198	-8.383874463	5.12E-17	2.75E-15
ENSG00000139343	32.90889629	-3.192734674	0.381956297	-8.35890048	6.33E-17	3.38E-15
ENSG00000112273	23.03287259	-4.832637726	0.579936917	-8.333040341	7.88E-17	4.19E-15
ENSG00000088205	63.09729448	-2.104728919	0.253360021	-8.307265317	9.79E-17	5.19E-15
ENSG00000170854	49.45289701	-2.622625561	0.316111405	-8.296523064	1.07E-16	5.66E-15
ENSG00000145743	77.57734571	-1.893184679	0.22920812	-8.259675431	1.46E-16	7.68E-15
ENSG00000162402	125.1488608	-1.483934994	0.179870761	-8.250006745	1.58E-16	8.29E-15
ENSG00000164134	59.75212132	-2.685678795	0.326946084	-8.214439413	2.13E-16	1.11E-14
ENSG00000136938	41.1535886	-2.619595259	0.318960085	-8.212924997	2.16E-16	1.12E-14
ENSG00000125356	50.62365431	-2.322244289	0.282995894	-8.205929254	2.29E-16	1.18E-14
ENSG00000160284	48.15645067	-2.452588367	0.298965518	-8.203582744	2.33E-16	1.20E-14
ENSG00000104886	59.01302656	-2.466558962	0.301612	-8.177920504	2.89E-16	1.48E-14
ENSG00000180660	105.0219908	-1.711708156	0.210530179	-8.130464544	4.28E-16	2.18E-14
ENSG00000133392	51.06611103	-2.322928274	0.286655478	-8.103554458	5.34E-16	2.71E-14
ENSG00000117152	94.33833024	-1.686730465	0.20833674	-8.096173859	5.67E-16	2.87E-14
ENSG00000170214	37.04393005	-2.862319066	0.353952689	-8.086727847	6.13E-16	3.09E-14
ENSG00000276368	38.87486045	-2.657288637	0.329319437	-8.069030659	7.09E-16	3.56E-14
ENSG00000130508	400.2523665	1.042387761	0.129564518	8.04531807	8.60E-16	4.30E-14
ENSG00000138182	27.67158197	-3.573751079	0.445013738	-8.030653386	9.70E-16	4.83E-14
ENSG00000138326	118.2667992	-1.485647435	0.185013594	-8.029936611	9.75E-16	4.83E-14
ENSG00000196890	46.13760436	-3.55907742	0.443962718	-8.016613273	1.09E-15	5.37E-14
ENSG00000091592	82.88177869	-3.827672053	0.477593966	-8.014489971	1.11E-15	5.44E-14
ENSG00000047410	200.096697	-1.441668327	0.179992049	-8.009622267	1.15E-15	5.63E-14
ENSG00000124766	313.4852889	-0.934741281	0.116799539	-8.002953503	1.21E-15	5.92E-14
ENSG00000029363	32.0649946	-3.18435103	0.398716961	-7.986495034	1.39E-15	6.74E-14
ENSG00000273703	55.99729023	-2.172087358	0.273020141	-7.955776993	1.78E-15	8.61E-14
ENSG00000155304	41.87703142	-2.546599863	0.320421156	-7.94766454	1.90E-15	9.16E-14
ENSG00000166598	285.3711117	-1.069695248	0.134716119	-7.940365658	2.02E-15	9.68E-14
ENSG00000086758	382.9202509	1.108944666	0.139735202	7.936043677	2.09E-15	9.98E-14
ENSG00000143198	61.12516156	-2.071593517	0.261567496	-7.919919505	2.38E-15	1.13E-13
ENSG00000137449	59.73126234	-2.528698563	0.319490572	-7.914783059	2.48E-15	1.18E-13
ENSG00000122786	227.1045644	-1.100930893	0.139239518	-7.906741596	2.64E-15	1.25E-13
ENSG00000232434	44.34991763	-2.442750091	0.309169189	-7.901013996	2.77E-15	1.30E-13
ENSG00000072818	36.83874837	-2.724015905	0.344770529	-7.900953462	2.77E-15	1.30E-13
ENSG00000142449	21.95320698	-5.099923523	0.648415505	-7.865209094	3.68E-15	1.72E-13
ENSG00000142973	20.51199621	-5.582085266	0.709888825	-7.863323203	3.74E-15	1.74E-13
ENSG00000204463	194.3843808	1.672842369	0.213379992	7.83973394	4.52E-15	2.09E-13
ENSG00000165244	31.31616886	-2.927113624	0.375156318	-7.802383922	6.07E-15	2.80E-13
ENSG00000198712	795.5230907	-0.642693367	0.082374358	-7.80210468	6.09E-15	2.80E-13
ENSG00000105426	288.8565812	1.234895724	0.158304922	7.800741157	6.15E-15	2.82E-13
ENSG00000169100	204.8152533	1.545716287	0.198378355	7.79175877	6.61E-15	3.02E-13
ENSG00000118181	62.55745396	-1.995888269	0.256516922	-7.7807275	7.21E-15	3.28E-13
ENSG00000070761	27.10532296	-3.274836877	0.421442609	-7.770540545	7.82E-15	3.54E-13
ENSG00000149503	72.86269791	-1.88472346	0.242970491	-7.757005611	8.70E-15	3.93E-13
ENSG00000169710	764.7777517	0.725702547	0.093649561	7.749129186	9.25E-15	4.16E-13
ENSG00000198786	1545.157233	-0.592379484	0.076476109	-7.745941736	9.49E-15	4.25E-13
ENSG00000169057	53.99386562	-2.094962423	0.271653974	-7.71187842	1.24E-14	5.54E-13
ENSG00000197102	790.9541538	0.744740642	0.097139077	7.666746091	1.76E-14	7.85E-13
ENSG00000161016	289.7324763	1.218881331	0.15899449	7.66618601	1.77E-14	7.86E-13
ENSG00000100883	38.88829183	-2.963962433	0.387683792	-7.645309133	2.08E-14	9.21E-13
ENSG00000178913	48.50476709	-2.561455183	0.335157203	-7.642548502	2.13E-14	9.38E-13
ENSG00000183291	44.32987574	-2.357819947	0.308688694	-7.638180441	2.20E-14	9.67E-13
ENSG00000273611	28.43211763	-3.375351018	0.442502703	-7.627865311	2.39E-14	1.04E-12
ENSG00000197380	83.17167677	-1.724948671	0.226200759	-7.625742198	2.43E-14	1.06E-12
ENSG00000141378	28.40487111	-3.323991257	0.436574473	-7.61380123	2.66E-14	1.16E-12
ENSG00000075043	169.1960607	-1.370678948	0.180244849	-7.604538802	2.86E-14	1.24E-12
ENSG00000166477	39.36787267	-2.529849625	0.332755573	-7.602726526	2.90E-14	1.25E-12
ENSG00000163635	65.22092091	-1.885677468	0.248241867	-7.596129887	3.05E-14	1.31E-12
ENSG00000185090	64.55448655	-1.92073408	0.25292042	-7.594223036	3.10E-14	1.33E-12
